3,Sea Kayaking Group Tour,ADD1,"Price excludes transfers. Includes - kayak, mask & snorkel. Min 2 Max 50
Time: 9:30
Meeting Point - Pile bay, under the Pile gate, the main entrance to the Old Town, towards the beach reach through the park under the gate. You will see a stand with Adventure Dalmatia written on it.","T-shirt, swimsuit, sun hat, sunglasses, water and sunscreen.   ","Take to the crystal clear azure waters of the Adriatic on an exciting Sea Kayaking excursion. Our active half-day experience begins in the tiny port of Pile, beneath the Old Town. Accompanied by an English-speaking instructor, you will paddle your way to neighbouring Lokrum Island and the hidden and secluded Betina beach, which is only accessible by sea. Stop to swim or snorkel, before paddling your way back via the historic and ancient city walls. From your kayak, you can enjoy stunning views of Dubrovnik and its coastline."
3,Sunset Sea Kayaking Group Tour,ADD2,"Price excludes transfers. 
Time depends on sunset time. Min 2 Max 50
Meeting Point - Pile bay, under the Pile gate, the main entrance to the Old Town, towards the beach reach through the park under the gate. You will see a stand with Adventure Dalmatia written on it.","T-shirt, swimsuit, sun hat, sunglasses, water and sunscreen.   ","This afternoon you will join a 3 hour kayaking tour and see the beauty of Dubrovnik from the water at sunset. You will paddle beneath the city walls to the secluded and concealed Betina beach. After a swim and snorkel break, we will head towards Lokrum Island to explore its beautiful natural caves. At the end of the tour, you will witness a stunning sunset over the neighbouring archipelago islands of Elaphiti that stretch northwest of Dubrovnik. "
3,Konavle Valley Cycling & Wine Group Tour,ADD3,"Minimum 2 Max 8 includes transfers, all necessary equipment (bike, helmet), insurance, instructor/tourguide, wine tasting in a local winery.","Comfortable shoes and clothes, sunglasses, hat, sunscreen and water ","Enjoy two of your favourite pastimes on our combined Biking and Wine tasting experience. Hop on a bike and explore the beautiful village of Gruda, in the scenic Konavle Valley. The popular biking trail leads directly through cornfields, blueberry fields, orchards and vineyards, and over the bridges of Ljuta and Konavocica. The route is suitable for cyclists of all experience levels, and there are occasional stops for refreshments and exploration along the way. On our return to Gruda, we will visit the wine cellars to taste the locally produced wines."
3,Dubrovnik Hiking Group Tour,ADD4,Price excludes transfers.,,"Take to the country roads and pathways to discover the natural scenic beauty of the Pearl of the Adriatic. From Ploce (the Old Town Gate), we head for the mountain track. En route to Napoleon's Imperial Fort, you can expect to meet many friendly locals in the villages that are situated close to the 6th century roads. Enjoy spectacular views and heady scents as you begin the easy climb from the foothills to the summit. Our knowledgeable guides will entertain you with legendary folklore tales. Explore the Homeland war museum and enjoy the breathtaking scenery on your descent."
3,Dubrovnik to Split Private Transfer with Oyster Harvesting & Wine,AM1,Includes a private driver and a 60 minute stop at Bota Sare for fresh oyster harvesting from the pontoon. Followed by wine tasting at Rizman Winery.,,"Our private driver will pick you up from your hotel in Split and and he will drive you to Split. Part of the journey will be smooth motorway driving before exiting and continuing on the picturesque coastal road that known as the Peljesac Peninsula. For this 90 minute stretch of the journey you will enjoy breath-taking coastal views across the glistening Adriatic and Norwegian fjord like landscape that makes up this peninsula.

Before arriving in Dubrovnik you will stop in the town of Ston which is famous for its oysters which are produced here and shipped to restaurants around the world. Our local guide will take you for a fresh oyster harvesting experience where you will head out on a small boat to a floating pontoon in the bay. Here you will enjoy a selection of fresh oysters taken straight from the ocean with a glass of locally produced Dalmatian wine. After this unique experience, continue your journey on to Dubrovnik and check into your hotel."
3,Private Dubrovnik City Tour,DO1,"Price includes a one-way transfer for up to 6 pax from hotel
We tend to book a 9:30 start to avoid the heat
Meet in hotel lobby ","Comfortable shoes and clothes, sunglasses, hat, sunscreen and water ","Learn the secrets behind Dubrovnik’s incredible Old Town on this guided walk. Your knowledgeable guide will regale you with fascinating facts and historical anecdotes from the city’s history whilst strolling the atmospheric streets. Some of the highlights include the 1438 Onofrio’s Fountain which has carried drinking water into the city for nearly 600 years and the Franciscan Monastery which hosts one of Europe’s oldest still functioning pharmacies, along with the elegant 15th-century clock tower, stunning Rector’s Palace, the baroque Cathedral of the Assumption and the Church of St. Blaise, the city’s patron saint. "
3,Private Game of Thrones City Tour,DO2,"Price includes transfer to the Old Town
Book early departure for heat and crowds
Meeting point - Hotel Lobby","Comfortable shoes and clothes, sunglasses, hat, sunscreen and water ","This walking tour will take you to explore the ‘Game of Thrones’ filming sites focused around the fictional Kings Landing. Your expert guide provides an authentic local experience revealing the stories behind the scenes, beginning at the Pile Gate where a banner displays the Lannister family name. You will visit places where multiple scenes were shot including the location for Joffrey’s Nameday Tournament, the Purple Wedding, and even re-enact the final reunion of the Starks. You’ll enter the very same gates Jaime did when returning home, visit the brothel, follow the steps of Cersei on the Walk of Shame and more."
3,Private ULTIMATE Game of Thrones Dubrovnik Tour,DO3,"Price includes entrance fees to Lovrjenac Fortress, Trsteno Arboretum & transfers. Excludes lunch
Book early departure for heat and crowds
Meeting point - Hotel Lobby","Comfortable shoes and clothes, sunglasses, hat, sunscreen and water ","Many of Dubrovnik's historic locations were used in the production of the series, Game of Thrones, on this tour you will visit numerous locations where iconic scenes were filmed. Your tour guide will help you compare the real sets with the magic that happens on screen. You will start with a walking tour of the Old Town which was used as the site of Kings Landing, you will visit the location of the city gates, docks, and the stairs where many famous scenes were shot including Cersei's Walk of Shame and Littlefingers Brothel. You will then drive to locations that are outside of the city centre. Many scenes were filmed in the surrounding countryside, you will visit the Trsteno Harbour and the arboretum which was used at Tyrells Garden. "
3,Best of Montenegro Private Tour with Traditional Lunch ,DO4,"Includes a guided tour of Kotor with licensed guide for 1 hour, boat ride to Our lady of the Rocks, lunch with 1 drink at Conte Restaurant, wine tasting at Savina Winery on the way home, parking and ferry costs.                          Meeting point - Hotel Lobby","Passport, comfortable shoes, sunglasses, hat, sunscreen and water ","Today you are off to discover Montenegro, experience its beautiful coastline, stunning Fjord like vistas and historic Old Towns. The first stop is the UNESCO listed Old Town of Kotor, for a guided walking tour of this fascinating wonderfully preserved town. Then visit the picturesque seaside town of Perast where you will board a boat to visit the nearby island of Our Lady of the Rocks. You will then return to Perast and enjoy a traditional Montenegrin lunch alongside a beautiful old watermill. On route back to Dubrovnik, our driver will stop at a family-run winery that boasts not only delicious local wines and snacks but truly spectacular views and Montenegrin charm."
3,Best of Montenegro Private Tour ,DO5,"Includes a guided tour of Kotor with licensed guide for 1 hour, boat ride to Our lady of the Rocks, free time in Perast for lunch, wine tasting at Savina Winery on the way home, parking and ferry costs.

","Passport, comfortable shoes, sunglasses, hat, sunscreen and water ","Today you are off to discover Montenegro, experience its beautiful coastline, stunning Fjord like vistas and historic Old Towns. The first stop is the UNESCO listed Old Town of Kotor, for a guided walking tour of this fascinating wonderfully preserved town. Then visit the picturesque seaside town of Perast where you will board a boat to visit the nearby island of Our Lady of the Rocks. You will then return to Perast and enjoy a traditional Montenegrin lunch alongside a beautiful old watermill. On route back to Dubrovnik, our driver will stop at a family-run winery that boasts not only delicious local wines and snacks but truly spectacular views and Montenegrin charm."
