,"16 Lakes Hotel, Plitvice",56,15,PLI16LAKES
Suncani Hvar,"Adriana Hvar Spa Hotel, Hvar",56,4,HVAADRIANA
Maistra Collection,"Adriatic Hotel, Rovinj",56,16,ROVADRIATIC
Amadria Park,"Amadria Park Andrija, Sibenik",56,17,SIBAPANDRIJA
Amadria Park,"Amadria Park Grand hotel 4 opatijska cvijeta, Opatija",56,18,OPAAPGRAND4
Amadria Park,"Amadria Park Hotel Ivan, Sibenik",56,17,SIBAPIVAN
Amadria Park,"Amadria Park Hotel Jure, Sibenik",56,17,SIBAPJURE
Amadria Park,"Amadria Park Hotel Milenij, Opatija",56,18,OPAAPMILENIJ
Amadria Park,"Amadria Park Hotel Royal, Opatija",56,18,OPAAPROYAL
Amadria Park,"Amadria Park Hotel Sveti Jakov, Opatija",56,18,OPAAPSVETIJAKOV
Suncani Hvar,"Amfora Hvar Grand Beach Resort, Hvar",56,4,HVAAMFORA
,"Angelo d'Oro Hotel, Rovinj",56,16,ROVANGELODORO
,"Aparthotel Bellevue, Trogir",56,19,TROBELLEVUE
,"Apartment Diana 4, Bol",56,20,CROAPADIA4
,"Ariston Hotel, Dubrovnik",56,3,DBVARISTON
,"Art Hotel Kalelarga, Zadar",56,21,ZADARTKALELARGA
,"Arupinum Hotel, Rovinj",56,16,ROVARUPINUM
,"Atrium Hotel, Split",56,2,SPLATRIUM
,"Berkeley Hotel and Day Spa, Dubrovnik",56,3,DBVBERKELEY
,"Best Western Hotel Stella, Zagreb",56,5,ZAGBWSTELLA
,"Best Western Premier Hotel Astoria, Zagreb",56,5,ZAGBWPASTORIA
,"Bifora Heritage Hotel, Trogir",56,19,TROBIFORA
Bluesun Hotels,"Bluesun Hotel Borak, Bol",56,20,BOLBLUEBORAK
Bluesun Hotels,"Bluesun Hotel Elaphusa, Bol",56,20,BOLBLUEELAPHUSA
Bluesun Hotels,"Bluesun Resort Bonaca, Bol",56,20,BOLBLUEBONACA
,"Boban Luxury Suites, Split",56,2,CROBOBAN
,"Boutique Hotel Alhambra and Villa Augusta, Losinj",56,22,LOSALHAMBRA
,"Boutique Hotel Valsabbion, Pula",56,23,PULVALSABBION
,"Brown Beach House, Trogir",56,19,TROBBH
,"Casa Garzotto, Rovinj",56,16,ROVCASAGARZOTTO
,"Cornaro Hotel, Split",56,2,SPLCORNARO
,"Dioklecijan Hotel and Residence, Split",56,2,SPLDIOKLECIJAN
,"Divota Apartment Hotel, Split",56,2,SPLDIVOTAAPART
,"DoubleTree by Hilton Hotel Zagreb, Zagreb",56,5,ZAGDOUBLETREE
,"D-Resort Sibenik, Sibenik",56,17,SIBDRESORT
Maistra Hotels,"Hotel Eden, Rovinj",56,16,ROVEDEN
,"Esplanade Zagreb Hotel, Zagreb",56,5,ZAGESPLANADE
Falkensteiner Hotels,"Falkensteiner Family Hotel Diadora, Zadar",56,21,ZADFALKDIADORA
Falkensteiner Hotels,"Falkensteiner Hotel & Spa Iadera, Zadar",56,21,ZADFALKLADERA
Falkensteiner Hotels,"Falkensteiner Hotel Adriana, Zadar",56,21,ZADFALKADRIANA
Maistra Hotels,"Family Amarin Hotel, Rovinj",56,16,ROVFAMILYAMARIN
,"Grand Hotel Adriatic I, Opatija",56,18,OPAGRANDADRIAT1
,"Grand Hotel Adriatic II, Opatija",56,18,OPAGRANDADRIAT2
,"Grand Lakes Rooms, Plitvice",56,15,PLIGRANDLAKES
Maistra Hotels,"Grand Park Hotel Rovinj, Rovinj",56,16,ROVGRANDPARK
,"Grand Villa Argentina, Dubrovnik",56,3,DBVGRANDVILAR
,"Heritage Hotel 19, Split",56,2,SPLHERITAGE19
,"Heritage Hotel Antique Split, Split",56,2,SPLANTIQUE
,"Heritage Hotel Cardo, Split",56,2,SPLCARDO
,"Heritage Hotel Life Palace, Sibenik",56,17,SIBLIFEPALACE
,"Heritage Hotel Tragos, Trogir",56,19,TROTRAGOS
,"Heritage Hotel Vila Sikaa, Trogir",56,19,TROVILSIKAA
